1	6
2	6
3	6
4	6
5	6
6	6
7	6
8	6
9	6
10	5
11	5
12	5
13	6
14	7
15	5
16	6
17	4
18	8
19	6
20	5
21	8
22	7
23	7
24	6
25	6
26	6
27	6
28	6
29	6
30	8
31	5
32	6
33	5
34	6
35	6
36	7
37	5
38	7
39	5
40	5
41	6
42	6
43	6
44	6
45	6
46	4
47	4
48	4
49	6
50	6
51	6
52	7
53	6
54	6
55	5
56	6
57	6
58	6
59	6
60	6
61	6
62	6
63	6
64	6
65	7
66	5
67	5
68	5
69	8
70	5
71	4
72	5
73	5
74	4
75	8
76	5
77	7
78	4
79	6
80	5
81	6
82	6
83	5
84	6
85	5
86	6
87	6
88	6
89	5
90	6
91	6
92	6
93	7
94	7
95	5
96	5
97	6
98	7
99	5
100	6
101	5
102	5
103	5
104	6
105	5
106	6
107	5
108	6
109	6
110	6
111	5
112	6
113	5
114	5
115	5
116	6
117	5
118	6
119	5
120	6
121	5
122	5
123	6
124	5
125	6
126	7
127	5
128	7
129	6
130	6
131	5
132	7
133	5
134	5
135	5
136	5
137	6
138	5
139	8
140	6
141	6
142	5
143	6
144	6
145	6
146	4
147	6
148	7
149	6
150	6
151	7
152	6
153	6
154	7
155	7
156	6
157	6
158	7
159	8
160	8
161	7
162	5
163	4
164	6
165	5
166	6
167	6
168	7
169	6
170	5
171	6
172	6
173	4
174	8
175	6
176	6
177	4
178	6
179	5
180	5
181	6
182	6
183	5
184	6
185	5
186	5
187	6
188	7
189	7
190	4
191	4
192	5
193	6
194	6
195	5
196	5
197	5
198	5
199	5
200	5
201	5
202	5
203	6
204	6
205	6
206	5
207	5
208	6
209	6
210	6
211	3
212	6
213	5
214	6
215	7
216	5
217	5
218	5
219	6
220	5
221	5
222	7
223	7
224	5
225	6
226	5
227	6
228	5
229	6
230	5
231	6
232	6
233	5
234	6
235	6
236	6
237	6
238	6
239	6
240	5
241	6
242	6
243	6
244	6
245	5
246	6
247	9
248	7
249	7
250	6
251	6
252	7
253	5
254	4
255	6
256	5
257	7
258	7
259	6
260	4
261	7
262	5
263	5
264	5
265	6
266	5
267	6
268	5
269	6
270	6
271	6
272	5
273	5
274	6
275	5
276	6
277	6
278	5
279	5
280	7
281	6
282	8
283	5
284	5
285	5
286	5
287	6
288	7
289	7
290	7
291	7
292	6
293	5
294	7
295	3
296	6
297	6
298	6
299	6
300	6
301	6
302	6
303	6
304	6
305	6
306	6
307	6
308	7
309	6
310	6
311	6
312	5
313	6
314	6
315	6
316	6
317	6
318	5
319	6
320	6
321	6
322	5
323	6
324	8
325	5
326	3
327	6
328	6
329	6
330	5
331	7
332	7
333	6
334	5
335	5
336	6
337	6
338	6
339	5
340	6
341	5
342	6
343	5
344	5
345	6
346	5
347	7
348	6
349	6
350	6
351	7
352	7
353	6
354	7
355	5
356	6
357	6
358	6
359	6
360	6
361	5
362	5
363	6
364	6
365	7
366	6
367	6
368	6
369	6
370	6
371	6
372	6
373	5
374	6
375	7
376	7
377	7
378	7
379	6
380	7
381	7
382	5
383	7
384	6
385	7
386	7
387	6
388	5
389	6
390	7
391	7
392	7
393	6
394	4
395	5
396	5
397	5
398	6
399	6
400	7
401	6
402	5
403	5
404	5
405	6
406	5
407	7
408	5
409	5
410	5
411	6
412	6
413	5
414	5
415	6
416	6
417	6
418	5
419	6
420	6
421	6
422	6
423	6
424	6
425	6
426	6
427	6
428	5
429	6
430	5
431	5
432	5
433	7
434	5
435	8
436	7
437	5
438	5
439	7
440	5
441	6
442	6
443	8
444	6
445	5
446	6
447	6
448	6
449	6
450	7
451	5
452	7
453	6
454	7
455	7
456	6
457	6
458	5
459	5
460	5
461	5
462	7
463	6
464	6
465	5
466	6
467	5
468	6
469	5
470	6
471	5
472	5
473	6
474	7
475	6
476	5
477	7
478	7
479	6
480	6
481	5
482	6
483	5
484	5
485	6
486	6
487	6
488	6
489	5
490	5
491	6
492	7
493	6
494	6
495	6
496	7
497	4
498	8
499	5
500	4
501	5
502	6
503	5
504	5
505	6
506	6
507	6
508	7
509	6
510	7
511	6
512	6
513	6
514	6
515	6
516	7
517	6
518	6
519	6
520	6
521	5
522	5
523	6
524	6
525	6
526	6
